#CLAVE,  CARR,  CAL1, CAL2, PUNTOS, ORD, EXT
FS101, CEL, 70, 70, 40, 82, 
FS102, CEL, 40, 42, 40, 65, 
FS103, CIV, 79, 67, 20, 64, 
FS105, COM, 71, 80, 37, 82, 
FS202, MEL, 0, 0, 14, 14, 
FS101, , 55, 45, 0, 30, 
FS105, CIV, 57, 90, 40, 84, 
FS202, CEL, 50, 44, 40, 68, 
FS108, CEL, 38, 75, 28, 62, 
FS105, COM, 64, 90, 40, 86, 
FS105, IND, 79, 90, 39, 90, 
FS108, CEL, 46, 31, 0, 23, 
FS202, CEL, 50, 44, 40, 68, 
FS105, QUI, 57, 65, 40, 77, 
FS102, IQU, 50, 0, 0, 15, 
FS105, MEL, 64, 75, 40, 82, 
FS107, MEL, 57, 73, 39, 78, 
FS102, CEL, 40, 8, 20, 34, 
FS102, IQU, 80, 50, 39, 78, 
FS103, MEL, 50, 33, 40, 65, 
FS107, MEL, 79, 40, 40, 76, 
FS105, MEL, 43, 50, 30, 60, 
FS102, IQU, 60, 50, 38, 71, 
FS101, QFB, 40, 50, 40, 67, 
FS202, CEL, 60, 33, 40, 68, 
FS108, CEL, 62, 50, 40, 74, 
FS105, FIS, 93, 85, 30, 83, 
FS104, MEL, 100, 86, 40, 96, 
FS103, CIV, 93, 73, 38, 88, 
FS102, IND, 40, 17, 40, 57, 
FS202, MEL, 50, 44, 40, 68, 
FS102, QUI, 40, 8, 40, 54, 
FS102, CEL, 60, 25, 40, 66, 
FS105, MEL, 14, 80, 40, 68, 
FS107, MEL, 43, 60, 37, 68, 
FS105, CEL, 0, 15, 0, 4, 22
FS102, INF, 10, 33, 40, 53, 
FS104, CIV, 100, 100, 40, 100, 
FS101, CIV, 85, 65, 40, 85, 
FS109, CIV, 0, 86, 50, 93, 
FS101, CEL, 30, 45, 40, 62, 
FS105, MEL, 57, 80, 35, 76, 
FS102, IND, 40, , 40, 52, 
FS107, CEL, 14, 0, 0, 4, 
FS105, CEL, 64, 85, 40, 85, 
FS109, CIV, 0, 95, 50, 98, 
FS101, CIV, 75, 65, 40, 82, 
FS107, CEL, 29, 67, 40, 69, 
FS105, CEL, 43, 80, 40, 77, 
